Date,Symbol,Open,High,Low,Close,Volume,Turnover,52W High,52W Low,Index/Sector Data
2020-03-16,Nifty 50,9587.8,9602.2,9165.1,9197.4,898523271.0,29181.8,0.0,0.0,Y
2020-03-16,Nifty Midcap 100,14051.4,14179.4,13658.85,13695.3,414336377.0,5474.13,0.0,0.0,Y
2020-03-16,Nifty SMLCAP 250,3923.4,3936.75,3835.35,3849.9,230478973.0,2261.41,0.0,0.0,Y
2020-03-17,India VIX,58.875,63.44,57.25,62.93,0.0,0.0,0.0,0.0,Y
2020-03-17,Nifty 50,9285.4,9403.8,8915.6,8967.05,936185892.0,28004.16,0.0,0.0,Y
2020-03-17,Nifty Midcap 100,13720.45,13894.05,13313.55,13349.65,390715277.0,5556.29,0.0,0.0,Y
2020-03-17,Nifty SMLCAP 250,3836.15,3877.85,3753.8,3760.2,217024820.0,2183.45,0.0,0.0,Y
2020-03-18,India VIX,62.925,64.5775,61.1525,63.96,0.0,0.0,0.0,0.0,Y
2020-03-18,Nifty 50,9088.45,9127.55,8407.05,8468.8,1517275761.0,39256.71,0.0,0.0,Y
2020-03-18,Nifty Midcap 100,13483.2,13559.35,12459.65,12595.1,506144425.0,6104.01,0.0,0.0,Y
2020-03-18,Nifty SMLCAP 250,3795.6,3826.7,3513.9,3531.15,227265306.0,2116.8,0.0,0.0,Y
2020-03-19,India VIX,63.955,73.3425,63.095,72.2,0.0,0.0,0.0,0.0,Y
2020-03-19,Nifty 50,8063.3,8575.45,7832.55,8263.45,926508824.0,34274.23,0.0,0.0,Y
2020-03-19,Nifty Midcap 100,11963.65,12375.65,11597.6,12064.55,531328977.0,6352.89,0.0,0.0,Y
2020-03-19,Nifty SMLCAP 250,3365.1,3415.85,3244.55,3345.9,227369418.0,2211.8,0.0,0.0,Y
2020-03-20,India VIX,72.1975,72.965,65.38,67.1,0.0,0.0,0.0,0.0,Y
2020-03-20,Nifty 50,8284.45,8883.0,8178.2,8745.45,1072263600.0,37321.25,0.0,0.0,Y
2020-03-20,Nifty Midcap 100,12146.15,12759.05,11999.75,12661.25,528899033.0,6459.08,0.0,0.0,Y
2020-03-20,Nifty SMLCAP 250,3362.2,3475.05,3327.05,3421.0,316941339.0,2232.24,0.0,0.0,Y
2020-03-23,India VIX,67.1,73.3675,66.3175,71.99,0.0,0.0,0.0,0.0,Y
2020-03-23,Nifty 50,7945.7,8159.25,7583.6,7610.25,654151814.0,23891.9,0.0,0.0,Y
2020-03-23,Nifty Midcap 100,11577.75,11876.1,10965.4,10990.8,260383728.0,3104.19,0.0,0.0,Y
2020-03-23,Nifty SMLCAP 250,3126.0,3186.3,2993.8,2996.4,151723910.0,1216.05,0.0,0.0,Y
2020-03-24,India VIX,71.985,86.635,71.985,83.61,0.0,0.0,0.0,0.0,Y
2020-03-24,Nifty 50,7848.3,8036.95,7511.1,7801.05,739354439.0,28282.09,0.0,0.0,Y
2020-03-24,Nifty Midcap 100,11292.25,11408.3,10749.95,11110.4,327899779.0,4248.18,0.0,0.0,Y
2020-03-24,Nifty SMLCAP 250,3068.05,3106.25,2867.4,2967.45,163331569.0,1362.63,0.0,0.0,Y
2020-03-25,India VIX,83.6075,84.5975,75.9725,77.63,0.0,0.0,0.0,0.0,Y
2020-03-25,Nifty 50,7735.15,8376.75,7714.75,8317.85,738114713.0,28482.01,0.0,0.0,Y
2020-03-25,Nifty Midcap 100,10890.85,11503.9,10886.5,11481.6,289583914.0,4321.52,0.0,0.0,Y
2020-03-25,Nifty SMLCAP 250,2920.15,3049.8,2913.45,3041.55,148479646.0,1311.99,0.0,0.0,Y
2020-03-26,India VIX,77.625,79.405,70.675,71.53,0.0,0.0,0.0,0.0,Y
2020-03-26,Nifty 50,8451.0,8749.05,8304.9,8641.45,866534643.0,32228.31,0.0,0.0,Y
2020-03-26,Nifty Midcap 100,11592.2,12056.3,11431.75,11838.55,377042816.0,5241.24,0.0,0.0,Y
2020-03-26,Nifty SMLCAP 250,3082.95,3215.55,3063.25,3147.2,238546600.0,1821.17,0.0,0.0,Y
2020-03-27,India VIX,71.5325,73.03,65.6325,70.39,0.0,0.0,0.0,0.0,Y
2020-03-27,Nifty 50,8949.1,9038.9,8522.9,8660.25,801923401.0,31336.86,0.0,0.0,Y
2020-03-27,Nifty Midcap 100,12207.8,12355.55,11604.9,11763.35,391446358.0,4898.6,0.0,0.0,Y
2020-03-27,Nifty SMLCAP 250,3247.5,3301.05,3157.4,3174.85,232280795.0,1717.63,0.0,0.0,Y
2020-03-30,India VIX,70.385,73.365,70.28,71.89,0.0,0.0,0.0,0.0,Y
2020-03-30,Nifty 50,8385.95,8576.0,8244.0,8281.1,593953051.0,24724.44,0.0,0.0,Y
2020-03-30,Nifty Midcap 100,11499.95,11613.7,11329.7,11446.15,269790335.0,3881.04,0.0,0.0,Y
2020-03-30,Nifty SMLCAP 250,3124.0,3145.8,3064.6,3101.1,168190278.0,1119.91,0.0,0.0,Y
2020-03-31,India VIX,71.89,71.89,63.6075,64.41,0.0,0.0,0.0,0.0,Y
2020-03-31,Nifty 50,8529.35,8678.3,8358.0,8597.75,713390935.0,27401.3,0.0,0.0,Y
2020-03-31,Nifty Midcap 100,11690.5,11742.2,11451.65,11703.75,318871023.0,4335.97,0.0,0.0,Y
2020-03-31,Nifty SMLCAP 250,3175.75,3209.5,3142.6,3201.6,201629548.0,1453.31,0.0,0.0,Y
