TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2023-12-05,2023-12-05,CM,BSE,STK,500464,INE139B01016,UCAL,B,,,,,UCAL LIMITED,153.75,153.75,143.00,143.85,143.50,149.45,,144.00,,,3755,546843.00,196,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500467,INE544A01019,HARRMALAYA,B,,,,,HARRISON MAL,154.90,156.50,151.00,152.50,152.00,154.90,,151.70,,,3371,514610.00,218,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500469,INE171A01029,FEDERALBNK,A,,,,,Federal Bank Ltd.,155.65,158.95,154.45,156.40,156.40,154.05,,156.55,,,1341034,210472474.00,11412,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500470,INE081A01020,TATASTEEL,A,,,,,TATA IORN AN,131.15,132.50,130.00,131.60,131.60,130.95,,131.60,,,1358781,178401130.00,11678,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500472,INE640A01023,SKFINDIA,A,,,,,SKF INDIA,4590.00,4727.90,4590.00,4701.60,4690.00,4570.65,,4699.10,,,28405,133560199.00,975,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500477,INE208A01029,ASHOKLEY,A,,,,,ASHOK LEYLND,175.95,177.00,173.15,175.00,175.00,174.50,,174.95,,,1012791,177327066.00,11710,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500480,INE298A01020,CUMMINSIND,A,,,,,CUMMINS INDI,1954.20,1987.95,1933.90,1958.95,1958.95,1953.30,,1960.15,,,8869,17415721.00,1261,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500483,INE151A01013,TATACOMM,A,,,,,TATA COMM,1684.95,1684.95,1652.60,1678.60,1676.05,1662.80,,1678.75,,,14932,24940471.00,1063,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500488,INE358A01014,ABBOTINDIA,A,,,,,ABBOTT INDIA LTD,23585.95,23688.00,23013.70,23119.00,23184.65,23383.55,,23110.65,,,704,16424955.00,473,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500490,INE118A01012,BAJAJHLDNG,A,,,,,BAJ HOLD INV,7850.05,7888.30,7641.00,7708.35,7724.40,7841.95,,7709.20,,,1763,13591012.00,628,F1,1,,,,,
